FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
K50203,2015062901,2015,Lightning,2015-K50203,0.7000000000000001,2015 ROLLOVER,20150629,20150829090442,20150628,OZIX,JA70003000,,1844975,7896.6961,683.4655,,
K50247,2015070701,2015,Lightning,2015-K50247,863.4,2015 ROLLOVER,20150707,20150712175540,20150629,OZIX,JA70003000,,1844976,8634019.0576,19925.1012,,
N50472,2015073001,2015,Lightning,2015-N50472,1.7,2015 ROLLOVER,20150730,20150911155021,20150720,OZIX,JA70003000,,1845059,17151.0833,940.1422,,
N50499,2015072401,2015,Lightning,2015-N50499,38.9,2015 ROLLOVER,20150724,20150728072150,20150710,OZIX,JA70003000,,1845060,389902.6544,2392.742,,
N50577,2015082101,2015,Lightning,2015-N50577,199.6,2015 ROLLOVER,20150821,20150824162331,20150720,OZIX,JA70003000,,1845061,1996401.0561,5788.1107,,
N50583,2015081301,2015,Lightning,2015-N50583,46.300000000000004,2015 ROLLOVER,20150813,20150814134124,20150812,OZIX,JA70003000,,1845062,463837.7367,3535.1258000000003,,
N50600,2015090203,2015,Lightning,2015-N50600,1239.9,2015 ROLLOVER,20150902,20150903093638,20150814,OZIX,JA70003000,,1845063,12399095.4495,24485.1856,,
N50604,2015082201,2015,Lightning,2015-N50604,23.1,2015 ROLLOVER,20150822,20150826154928,20150814,OZIX,JA70003000,,1845064,231842.8939,2871.3627,,
R10131,2015072201,2015,Lightning,2015-R10131,1.7,2015 ROLLOVER,20150722,20151005155311,20150720,Non-corrected ground GPS                          ,JA70003000,,1845118,17626.026400000002,739.4416,,
R20012,2015042801,2015,Person,2015-R20012,1.4000000000000001,2015 ROLLOVER,20150428,20150925094856,20150428,Non-corrected ground GPS                          ,JA70003000,,1845119,14884.106,714.8659,,
R30006,2015041101,2015,Person,2015-R30006,1.1,2015 ROLLOVER,20150505140011,20150505140112,20150411,OZIX,JA70003000,,1845120,11328.9493,697.3144,,
R30008,2015051601,2015,Person,2015-R30008,5.9,2015 ROLLOVER,20150918134923,20150918135133,20150411,Ozi,JA70003000,,1845121,59671.676999999996,1388.5032,,
R30015,2015051101,2015,Person,2015-R30015,3.1,2015 ROLLOVER,20150914134314,20150914134817,20150511,OZIX,JA70003000,,1845122,31644.4159,884.0957000000001,,
G90124,2015060201,2015,Lightning,2015-G90124,1.3,2015 ROLLOVER,20150527003052,20150602155316,20150525,OZIX,JA70003000,,1844885,13635.117900000001,1012.8523,,
